名次,学校名称,所在地区,类型,总分,科学研究,人才培养,综合声誉,办学类型,星级排名,办学层次
357,内蒙古民族大学,内蒙古,综合,61.49,60.25,63.01,60,应用型,-,-
357,北京第二外国语学院,北京,语言,61.49,60.15,63.03,60.33,专业型,3星级,中国知名大学
363,南京审计学院,江苏,财经,61.48,60.29,62.91,60.16,应用型,-,-
363,北京农学院,北京,农林,61.48,60.26,62.94,60.16,应用型,-,-
363,浙江海洋学院,浙江,农林,61.48,60.35,62.9,60,应用型,-,-
363,大连民族学院,辽宁,民族,61.48,60.29,62.94,60,应用型,-,-
367,苏州科技学院,江苏,理工,61.47,60.17,63.01,60.16,应用型,-,-
367,天津城建大学,天津,理工,61.47,60.25,62.95,60,应用型,-,-
367,四川外国语大学,重庆,语言,61.47,60.04,63.12,60.16,专业型,3星级,中国知名大学
370,上海电力学院,上海,理工,61.46,60.24,62.96,60,应用型,-,-
370,沈阳大学,辽宁,综合,61.46,60.14,63,60.16,应用型,-,-
370,广东药学院,广东,医药,61.46,60.19,62.97,60.16,应用型,-,-
370,新乡医学院,河南,医药,61.46,60.12,63.07,60,应用型,-,-
370,辽宁医学院,辽宁,医药,61.46,60.13,63.06,60,应用型,-,-
370,安徽建筑大学,安徽,理工,61.46,60.24,62.95,60,应用型,-,-
376,北京服装学院,北京,理工,61.45,60.11,62.98,60.33,应用型,-,-
376,沈阳理工大学,辽宁,理工,61.45,60.08,63.07,60,应用型,-,-
376,广西师范学院,广西,师范,61.45,60.09,63.07,60,应用型,-,-
376,遵义医学院,贵州,医药,61.45,60.12,63.04,60,应用型,-,-
376,潍坊医学院,山东,医药,61.45,60.09,63.07,60,应用型,-,-
376,北方民族大学,宁夏,民族,61.45,60.21,62.96,60,应用型,-,-
376,商丘师范学院,河南,师范,61.45,60.71,62.49,60,应用型,-,-
376,沈阳化工大学,辽宁,理工,61.45,60.11,63.05,60,应用型,-,-
384,广东海洋大学,广东,农林,61.44,60.17,62.98,60,应用型,-,-
384,广西科技大学,广西,理工,61.44,60.14,62.93,60.33,应用型,-,-
384,泰山医学院,山东,医药,61.44,60.15,62.99,60,应用型,-,-
384,贵州民族大学,贵州,民族,61.44,60.21,62.95,60,应用型,-,-
384,淮北师范大学,安徽,师范,61.44,60.12,63.02,60,应用型,-,-
384,中国青年政治学院,北京,政法,61.44,60.13,63.01,60,应用型,-,-
384,黑龙江科技大学,黑龙江,理工,61.44,60.11,63.04,60,应用型,-,-
384,大连外国语大学,辽宁,语言,61.44,60.11,63.04,60,专业型,3星级,中国知名大学
392,中原工学院,河南,理工,61.43,60.05,63.02,60.16,应用型,-,-
392,信阳师范学院,河南,师范,61.43,60.11,63.02,60,应用型,-,-
392,江苏理工学院,江苏,师范,61.43,60.2,62.89,60.16,应用型,-,-
392,长春师范大学,吉林,师范,61.43,60.14,62.93,60.16,应用型,-,-
392,大连海洋大学,辽宁,农林,61.43,60.08,62.99,60.16,应用型,-,-
392,山东工商学院,山东,财经,61.43,60.18,62.95,60,应用型,-,-
392,河北工程大学,河北,理工,61.43,60.09,63.02,60,应用型,-,-
392,甘肃政法学院,甘肃,政法,61.43,60.2,62.93,60,应用型,-,-
392,滨州医学院,山东,医药,61.43,60.13,62.98,60,应用型,-, 
392,湖州师范学院,浙江,师范,61.43,60.19,62.94,60,应用型,-,-
392,辽宁石油化工大学,辽宁,理工,61.43,60.07,63.04,60,应用型,-,-
392,皖南医学院,安徽,医药,61.43,60.08,63.04,60,应用型,-,-
392,上海对外经贸大学,上海,财经,61.43,60.13,62.99,60,应用型,-,-
392,吉林建筑大学,吉林,理工,61.43,60.15,62.96,60,应用型,-,-
406,天津外国语大学,天津,语言,61.42,60.03,63.02,60.16,应用型,-,-
406,北京印刷学院,北京,理工,61.42,60.08,62.97,60.16,应用型,-,-
406,兰州商学院,甘肃,财经,61.42,60.05,63.01,60.16,应用型,-,-
406,湖北民族学院,湖北,民族,61.42,60.13,62.96,60,应用型,-,-
410,西安财经学院,陕西,财经,61.41,60.15,62.93,60,应用型,-,-
410,甘肃中医学院,甘肃,医药,61.41,60.1,62.98,60,应用型,-,-
410,内蒙古财经大学,内蒙古,财经,61.41,60.15,62.92,60,应用型,-,-
410,天津职业技术师范大学,天津,师范,61.41,60.04,63.03,60,应用型,-,-
414,阜阳师范学院,安徽,师范,61.4,60.07,62.97,60,应用型,-,-
414,江汉大学,湖北,综合,61.4,60.13,62.9,60.16,应用型,-,-
414,北京物资学院,北京,财经,61.4,60.09,62.93,60.16,应用型,-,-
414,五邑大学,广东,综合,61.4,60.02,63,60.16,应用型,-,-
414,西安邮电大学,陕西,理工,61.4,60.08,62.97,60,应用型,-,-
414,淮阴师范学院,江苏,师范,61.4,60.13,62.92,60,应用型,-,-
414,闽南师范大学,福建,师范,61.4,60.09,62.96,60,应用型,-,-
414,蚌埠医学院,安徽,医药,61.4,60.03,63.02,60,应用型,-,-
422,云南中医学院,云南,医药,61.39,60.01,63,60,应用型,-,-
422,嘉兴学院,浙江,综合,61.39,60.11,62.89,60.16,应用型,-,-
422,井冈山大学,江西,综合,61.39,60.08,62.9,60.16,应用型,-,-
422,南京工程学院,江苏,理工,61.39,60.05,62.97,60,应用型,-,-
422,石家庄经济学院,河北,财经,61.39,60.08,62.96,60,应用型,-,-
422,安庆师范学院,安徽,师范,61.39,60.08,62.94,60,应用型,-,-
422,上海应用技术学院,上海,理工,61.39,60.13,62.9,60,应用型,-,-
422,盐城师范学院,江苏,师范,61.39,60.15,62.9,60,应用型,-,-
422,陕西中医学院,陕西,医药,61.39,60.05,62.98,60,应用型,-,-
422,常州工学院,江苏,理工,61.39,60.11,62.92,60,应用型,-,-
432,湖南文理学院,湖南,综合,61.38,60.07,62.94,60,应用型,-,-
432,沈阳医学院,辽宁,医药,61.38,60.03,62.93,60.16,应用型,-,-
432,海南医学院,海南,医药,61.38,60.05,62.91,60.16,应用型,-,-
